id;Name;Name on Shirt;Teams;Nationality;Age;Height(cm);Weight(Kg);Stronger foot;Favorite side;Reg. Pos.;Positions;Injury;Attack;Defence;Body balance;Stamina;Top speed;Responsiveness;Explosive power;Dribble accuracy;Dribble speed;Short pass accuracy;Short pass speed;Long pass accuracy;Long pass speed;Shot accuracy;Shot power;Free kick accuracy;Swerve;Header Accuracy;Jump;Ball control;Mentality;Keeper skills;Teamwork;Form;Weak foot accuracy;Weak foot frequency;P01 Classic No.10;P02 Anchor Man;P03 Trickster;P04 Darting Run;P05 Mazing Run;P06 Pinpoint Pass;P07 Early Cross;P08 Box to Box;P09 Cut Back Pass;P10 Incisive Run;P11 Long Ranger;P12 Enforcer;P13 Goal Poacher;P14 Dummy Runner;P15 Free Roaming;P16 Extra Attacker;P17 Chasing Back;P18 Talisman;P19 Fox in the Box;P20 Track Back;P21 Offensive Fullback;P22 180 Drag;P23 Flick(Sombrero);H01 Attack Minded;H02 Defence Master;S01 Weighted Pass;S02 Double Touch;S03 Run Around;S04 PK Taker;S05 1-touch play;S06 Outside Curve;S07 Lunging Tackle;S08 Diving Header;S09 Covering;S10 GK Long Throw;S11 Penalty Saver;S12 1-on-1 Keeper;S13 Long Throw;S14 Speed Merchant;S15 Shoulder Feint Skills;S16 Roulette Skills;S17 Flip Flap Skills;S18 Turning Skills;S19 Scissors Skills;S20 Flicking Skills;S21 Step On Skills;S22 Deft Touch Skills;S23 Super-Sub;S24 Long Range Drive;S25 Flip Flap Skills;S26 Jumping Volley;S27 Scissor Kick;S28 Knuckle Shot;S29 Heel Flick;Unnamed: 93
43083;J. MCEACHRAN;MCEACHRAN;;England;19;178;65;L;R;CMF; CMF LMF RMF AMF;2;68;60;68;82;78;75;83;82;75;79;75;78;75;70;75;75;74;64;70;83;70;50;70;4;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
43084;IGOR TUDOR;TUDOR;;Croatia;25;193;86;R;R;CB; CB DMF;1;69;84;93;84;76;84;76;74;73;78;81;77;81;68;86;70;65;87;82;76;85;50;84;6;5;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
43086;UGO FERRANTE;FERRANTE;;Italy;25;188;82;R;R;CWP; CWP CB;2;69;86;88;85;78;85;81;81;77;79;76;77;78;69;84;69;74;87;84;79;86;50;86;8;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
43088;S. ANDJELKOVIĆ;ANDJELKOVIC;;Slovenia;26;186;82;R;R;CB; CB;2;52;75;84;78;72;76;71;69;69;67;68;71;68;58;75;61;61;72;77;70;70;50;72;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
43092;SERGE AURIER;SERGE AURIER;;Ivory Coast;23;176;73;R;R;RB; CB LB RB RMF;2;76;73;85;90;85;80;83;77;81;76;76;80;84;70;83;71;85;71;87;79;76;50;80;6;5;4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
43093;RECIO;RECIO;;Spain;21;183;74;R;R;CMF; DMF CMF LMF RMF AMF;2;65;58;70;78;74;73;76;77;72;76;71;73;70;63;70;61;64;63;68;75;68;50;72;4;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
43094;MORATA;MORATA;;Spain;19;187;82;R;R;CF; CF;1;69;33;77;75;78;74;76;75;74;68;65;63;62;68;74;62;61;73;74;75;65;50;65;3;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
43096;WIM ANDERIESEN;ANDERIESEN;;Netherlands;25;187;82;R;R;CB; CB DMF;1;59;88;90;82;76;82;73;71;70;75;73;73;75;67;89;67;65;90;84;72;91;50;81;6;6;6;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
43097;LUKOKI;LUKOKI;;Netherlands;19;175;74;R;R;RWF; RMF RWF;2;70;34;71;74;88;67;83;78;87;68;66;72;70;61;72;66;63;64;79;74;62;50;60;3;5;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
43099;R. MIYAICHI;MIYAICHI;;Japan;19;183;71;R;R;LWF; LMF RMF LWF RWF SS;2;71;44;73;79;91;70;82;79;88;73;68;72;74;68;75;68;69;63;77;77;66;50;63;4;6;5;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;
