id;Name;Name on Shirt;Teams;Nationality;Age;Height(cm);Weight(Kg);Stronger foot;Favorite side;Reg. Pos.;Positions;Injury;Attack;Defence;Body balance;Stamina;Top speed;Responsiveness;Explosive power;Dribble accuracy;Dribble speed;Short pass accuracy;Short pass speed;Long pass accuracy;Long pass speed;Shot accuracy;Shot power;Free kick accuracy;Swerve;Header Accuracy;Jump;Ball control;Mentality;Keeper skills;Teamwork;Form;Weak foot accuracy;Weak foot frequency;P01 Classic No.10;P02 Anchor Man;P03 Trickster;P04 Darting Run;P05 Mazing Run;P06 Pinpoint Pass;P07 Early Cross;P08 Box to Box;P09 Cut Back Pass;P10 Incisive Run;P11 Long Ranger;P12 Enforcer;P13 Goal Poacher;P14 Dummy Runner;P15 Free Roaming;P16 Extra Attacker;P17 Chasing Back;P18 Talisman;P19 Fox in the Box;P20 Track Back;P21 Offensive Fullback;P22 180 Drag;P23 Flick(Sombrero);H01 Attack Minded;H02 Defence Master;S01 Weighted Pass;S02 Double Touch;S03 Run Around;S04 PK Taker;S05 1-touch play;S06 Outside Curve;S07 Lunging Tackle;S08 Diving Header;S09 Covering;S10 GK Long Throw;S11 Penalty Saver;S12 1-on-1 Keeper;S13 Long Throw;S14 Speed Merchant;S15 Shoulder Feint Skills;S16 Roulette Skills;S17 Flip Flap Skills;S18 Turning Skills;S19 Scissors Skills;S20 Flicking Skills;S21 Step On Skills;S22 Deft Touch Skills;S23 Super-Sub;S24 Long Range Drive;S25 Flip Flap Skills;S26 Jumping Volley;S27 Scissor Kick;S28 Knuckle Shot;S29 Heel Flick;Unnamed: 93
46472;COURTET;COURTET;;France;23;180;72;R;R;SS; AMF SS;1;70;41;79;73;74;75;66;78;67;70;68;67;65;73;79;61;67;78;75;79;66;50;63;4;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;
46473;SCALA;SCALA;;Brazil;25;185;79;R;R;CB; CB;1;65;86;86;81;78;85;79;77;75;77;75;77;76;65;81;64;69;85;84;78;84;50;80;7;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
46474;MANZORRO;MANZORRO;;France;20;173;70;R;R;RWF; RWF CF;2;71;33;69;76;74;76;78;74;82;65;82;72;69;76;76;63;64;78;74;69;63;50;62;3;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
46475;JULIO COZZI;COZZI;;Argentina;25;179;75;R;R;GK; GK;2;30;92;85;71;67;94;84;52;57;60;64;65;68;45;84;49;49;57;88;57;87;92;85;8;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
46476;SODINI;SODINI;;France;23;184;83;R;R;CB; CB;2;54;72;81;70;77;67;71;61;59;64;59;66;62;62;82;56;62;77;78;59;63;50;64;3;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
46477;FRANK SINCLAIR;SINCLAIR;;Ямайка;27;176;72;R;R;CB; CB RB;1;69;83;78;83;81;83;80;73;78;68;72;73;75;63;73;61;66;82;87;75;80;50;80;7;4;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
46478;J. MOSHOEU;MOSHOEU;;Южно-Африканская Респ.;25;177;68;R;R;AMF; DMF CMF LMF RMF AMF LWF RWF SS CF;1;80;58;74;80;86;82;88;87;86;81;79;85;84;77;82;73;77;63;69;84;79;40;82;5;6;5;0;0;0;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;
46479;EMMANUEL PETIT;E. PETIT;;France;25;185;78;L;R;DMF; CB LB DMF CMF;1;71;76;88;91;81;85;80;82;79;86;85;88;86;71;85;75;76;79;79;84;86;45;92;7;5;4;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
46480;ROGÉRIO;ROGERIO;;Brazil;25;179;71;R;R;DMF; RB DMF CMF RMF;1;73;71;80;86;84;80;86;81;81;80;78;85;80;76;84;85;83;69;76;81;81;45;85;7;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
46481;KHAZRI;KHAZRI;;France;21;182;76;R;R;SS; CMF LMF RMF AMF SS;2;73;45;80;72;78;73;70;82;74;80;81;76;79;76;77;64;64;77;69;66;65;50;66;5;6;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
