id;Name;Name on Shirt;Teams;Nationality;Age;Height(cm);Weight(Kg);Stronger foot;Favorite side;Reg. Pos.;Positions;Injury;Attack;Defence;Body balance;Stamina;Top speed;Responsiveness;Explosive power;Dribble accuracy;Dribble speed;Short pass accuracy;Short pass speed;Long pass accuracy;Long pass speed;Shot accuracy;Shot power;Free kick accuracy;Swerve;Header Accuracy;Jump;Ball control;Mentality;Keeper skills;Teamwork;Form;Weak foot accuracy;Weak foot frequency;P01 Classic No.10;P02 Anchor Man;P03 Trickster;P04 Darting Run;P05 Mazing Run;P06 Pinpoint Pass;P07 Early Cross;P08 Box to Box;P09 Cut Back Pass;P10 Incisive Run;P11 Long Ranger;P12 Enforcer;P13 Goal Poacher;P14 Dummy Runner;P15 Free Roaming;P16 Extra Attacker;P17 Chasing Back;P18 Talisman;P19 Fox in the Box;P20 Track Back;P21 Offensive Fullback;P22 180 Drag;P23 Flick(Sombrero);H01 Attack Minded;H02 Defence Master;S01 Weighted Pass;S02 Double Touch;S03 Run Around;S04 PK Taker;S05 1-touch play;S06 Outside Curve;S07 Lunging Tackle;S08 Diving Header;S09 Covering;S10 GK Long Throw;S11 Penalty Saver;S12 1-on-1 Keeper;S13 Long Throw;S14 Speed Merchant;S15 Shoulder Feint Skills;S16 Roulette Skills;S17 Flip Flap Skills;S18 Turning Skills;S19 Scissors Skills;S20 Flicking Skills;S21 Step On Skills;S22 Deft Touch Skills;S23 Super-Sub;S24 Long Range Drive;S25 Flip Flap Skills;S26 Jumping Volley;S27 Scissor Kick;S28 Knuckle Shot;S29 Heel Flick;Unnamed: 93
54260;KOZMINSKI;KOZMINSKI;;Poland;25;178;76;L;R;LB; LB DMF;1;72;74;79;86;82;79;83;78;82;75;77;82;79;71;83;71;76;74;78;78;83;45;82;7;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
54261;STANKEVICIUS;STANKEVICIUS;;Литва;25;190;85;R;R;RB; CB LB RB DMF CMF LMF RMF;2;72;74;86;90;83;81;81;78;83;74;76;81;83;71;85;77;76;79;80;79;84;50;84;7;5;5;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
54262;LUGI DI BIAGIO;DI BIAGIO;;Italy;25;175;74;R;R;DMF; CWP CB DMF CMF;1;75;80;84;87;75;88;76;78;75;84;86;87;87;75;89;82;83;87;83;83;90;50;88;6;6;5;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
54263;IOAN SABĂU;SABAU;;Romania;25;182;75;R;R;CMF; CMF AMF;1;71;64;80;83;76;78;78;83;78;85;80;82;79;73;83;70;75;68;72;84;77;40;87;6;7;5;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;
54264;NICOLA BERTI;BERTI;;Italy;25;186;76;R;R;CMF; DMF CMF LMF RMF;2;78;75;85;95;86;85;79;79;85;83;84;82;83;77;84;73;74;84;80;81;86;50;85;7;5;5;0;0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
54265;GOORSVAARD;GOORSVAARD;;Netherlands;33;186;76;R;R;CF; CF;2;70;35;77;76;73;76;70;63;67;67;63;64;65;71;73;63;55;71;77;70;64;50;65;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
54266;DIETER EILTS;EILTS;;Germany;25;186;75;R;R;DMF; CWP CB DMF CMF;2;66;84;88;86;77;87;79;73;73;80;77;75;79;70;80;65;66;80;79;76;90;50;90;7;5;5;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
54267;V. DE PAOLI;DE PAOLI;;Italy;25;175;75;R;R;CF; CF;2;84;38;81;82;84;84;85;79;80;73;75;69;70;83;88;79;78;82;84;79;78;50;77;6;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
54268;AUCHSCHUNAUM;AUCHSCHUNAUM;;Germany;31;181;74;R;R;GK; GK;2;30;74;80;58;65;83;64;52;50;56;51;54;58;41;79;41;44;45;77;50;70;75;64;5;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
54269;LAHMFERD;LAHMFERD;;Germany;27;186;76;R;R;CB; CB;2;55;74;70;82;76;74;74;70;71;70;71;72;69;62;74;60;66;72;75;70;70;50;74;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
54270;EINEFERD;EINEFERD;;Germany;26;179;75;R;R;CB; CB;2;48;71;77;76;70;72;71;65;62;61;63;64;66;53;70;58;58;69;76;64;70;50;63;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
