id;Name;Name on Shirt;Teams;Nationality;Age;Height(cm);Weight(Kg);Stronger foot;Favorite side;Reg. Pos.;Positions;Injury;Attack;Defence;Body balance;Stamina;Top speed;Responsiveness;Explosive power;Dribble accuracy;Dribble speed;Short pass accuracy;Short pass speed;Long pass accuracy;Long pass speed;Shot accuracy;Shot power;Free kick accuracy;Swerve;Header Accuracy;Jump;Ball control;Mentality;Keeper skills;Teamwork;Form;Weak foot accuracy;Weak foot frequency;P01 Classic No.10;P02 Anchor Man;P03 Trickster;P04 Darting Run;P05 Mazing Run;P06 Pinpoint Pass;P07 Early Cross;P08 Box to Box;P09 Cut Back Pass;P10 Incisive Run;P11 Long Ranger;P12 Enforcer;P13 Goal Poacher;P14 Dummy Runner;P15 Free Roaming;P16 Extra Attacker;P17 Chasing Back;P18 Talisman;P19 Fox in the Box;P20 Track Back;P21 Offensive Fullback;P22 180 Drag;P23 Flick(Sombrero);H01 Attack Minded;H02 Defence Master;S01 Weighted Pass;S02 Double Touch;S03 Run Around;S04 PK Taker;S05 1-touch play;S06 Outside Curve;S07 Lunging Tackle;S08 Diving Header;S09 Covering;S10 GK Long Throw;S11 Penalty Saver;S12 1-on-1 Keeper;S13 Long Throw;S14 Speed Merchant;S15 Shoulder Feint Skills;S16 Roulette Skills;S17 Flip Flap Skills;S18 Turning Skills;S19 Scissors Skills;S20 Flicking Skills;S21 Step On Skills;S22 Deft Touch Skills;S23 Super-Sub;S24 Long Range Drive;S25 Flip Flap Skills;S26 Jumping Volley;S27 Scissor Kick;S28 Knuckle Shot;S29 Heel Flick;Unnamed: 93
53613;GAV;GAV;;Uruguay;30;183;76;R;R;CMF; CMF LMF RMF;2;62;60;65;78;77;71;73;68;72;68;64;65;63;60;66;60;62;69;72;72;65;50;69;3;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
53614;STATZAAR;STATZAAR;;Belgium;27;178;70;R;R;CMF; CMF;2;61;67;53;62;60;60;51;67;63;84;70;67;71;53;49;45;46;75;75;46;52;50;52;6;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
53615;FAGERLOEF;FAGERLOEF;;Sweden;28;189;85;R;R;AMF; AMF;2;61;37;59;65;75;60;53;69;74;78;65;59;66;45;53;55;58;45;50;59;58;50;49;6;6;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
53616;YURI ZHIRKOV;ZHIRKOV;;Russia;25;179;70;L;R;LMF; LB DMF CMF LMF LWF;2;77;66;77;88;86;76;87;83;86;79;76;84;83;74;83;76;82;67;76;86;79;50;81;6;4;3;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;
53617;TORSTENWALD;TORSTENWALD;;Австрия;26;183;84;R;R;AMF; AMF CF;2;62;55;59;78;76;63;71;67;65;69;57;66;63;60;70;60;56;69;74;67;63;50;64;3;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
53618;ER;ER;;Мьянма;33;182;76;L;R;LWF; LWF SS;2;66;33;54;62;67;60;74;69;63;58;56;66;52;64;71;61;56;59;58;84;79;50;52;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
53619;CJAESTVELA;CJAESTVELA;;Sweden;29;186;79;R;R;GK; GK;2;30;69;77;55;63;80;63;50;50;50;50;49;55;43;70;45;45;45;75;45;66;73;63;4;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
53620;ORSRABBE;ORSRABBE;;Denmark;20;187;77;L;R;LB; CB LB;2;62;62;75;70;70;75;70;68;70;65;68;65;68;55;70;55;60;70;70;68;71;50;70;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
53621;JESPURMANN;JESPURMANN;;Germany;31;183;80;R;R;CB; CB;2;45;65;68;72;70;72;72;60;60;63;58;62;60;50;62;53;55;66;72;66;63;50;69;3;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
53622;TAKUMI HORIIKE;HORIIKE;;Japan;25;173;69;R;R;RB; CB RB DMF;1;66;81;79;85;84;82;80;75;76;76;75;72;74;64;79;63;65;78;82;75;81;50;80;6;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
