id;Name;Name on Shirt;Teams;Nationality;Age;Height(cm);Weight(Kg);Stronger foot;Favorite side;Reg. Pos.;Positions;Injury;Attack;Defence;Body balance;Stamina;Top speed;Responsiveness;Explosive power;Dribble accuracy;Dribble speed;Short pass accuracy;Short pass speed;Long pass accuracy;Long pass speed;Shot accuracy;Shot power;Free kick accuracy;Swerve;Header Accuracy;Jump;Ball control;Mentality;Keeper skills;Teamwork;Form;Weak foot accuracy;Weak foot frequency;P01 Classic No.10;P02 Anchor Man;P03 Trickster;P04 Darting Run;P05 Mazing Run;P06 Pinpoint Pass;P07 Early Cross;P08 Box to Box;P09 Cut Back Pass;P10 Incisive Run;P11 Long Ranger;P12 Enforcer;P13 Goal Poacher;P14 Dummy Runner;P15 Free Roaming;P16 Extra Attacker;P17 Chasing Back;P18 Talisman;P19 Fox in the Box;P20 Track Back;P21 Offensive Fullback;P22 180 Drag;P23 Flick(Sombrero);H01 Attack Minded;H02 Defence Master;S01 Weighted Pass;S02 Double Touch;S03 Run Around;S04 PK Taker;S05 1-touch play;S06 Outside Curve;S07 Lunging Tackle;S08 Diving Header;S09 Covering;S10 GK Long Throw;S11 Penalty Saver;S12 1-on-1 Keeper;S13 Long Throw;S14 Speed Merchant;S15 Shoulder Feint Skills;S16 Roulette Skills;S17 Flip Flap Skills;S18 Turning Skills;S19 Scissors Skills;S20 Flicking Skills;S21 Step On Skills;S22 Deft Touch Skills;S23 Super-Sub;S24 Long Range Drive;S25 Flip Flap Skills;S26 Jumping Volley;S27 Scissor Kick;S28 Knuckle Shot;S29 Heel Flick;Unnamed: 93
55272;JOHNNY HERRERA;HERRERA;;Chile;25;184;84;R;R;GK; GK;2;31;82;83;69;70;85;78;54;55;60;64;62;68;45;84;45;50;44;84;50;80;83;78;5;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
55273;TITUS BRAMBLE;BRAMBLE;;England;25;192;93;R;R;CB; CB;1;59;78;90;83;77;79;76;70;72;70;74;70;74;64;83;64;65;83;80;70;79;50;78;7;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
55274;S. MUSTAFI;MUSTAFI;;Germany;25;184;81;R;R;CB; CB RB;1;62;81;84;81;82;86;80;75;74;73;75;76;82;60;78;59;68;81;87;76;81;50;72;4;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
55275;YAGO PIKACHU;PIKACHU;;Brazil;25;170;63;R;R;RB; RB RMF RWF;1;76;52;75;82;84;76;86;83;85;76;76;77;78;75;77;78;79;67;76;80;78;40;78;6;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;
55276;E. BRAAFHEID;BRAAFHEID;;Netherlands;25;177;76;L;R;LB; CB LB;1;70;71;79;85;82;79;81;78;80;73;75;75;77;64;80;73;76;73;80;77;77;50;75;5;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
55277;MIGUEL OVIEDO;OVIEDO;;Argentina;25;172;71;R;R;DMF; LB RB DMF CMF;2;71;75;83;86;78;81;78;76;74;79;74;78;73;72;82;64;70;71;85;79;84;50;83;6;5;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
55278;RORY DELAP;DELAP;;Ireland;25;183;78;R;R;CMF; DMF CMF;1;71;66;81;86;79;83;80;81;80;82;83;81;81;71;81;68;74;79;81;82;82;50;83;6;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
55279;ZÉ CARLOS;ZE CARLOS;;Brazil;22;171;70;R;R;RB; RB;2;72;61;75;86;84;75;87;77;80;75;75;77;79;68;80;68;76;67;71;77;66;40;75;7;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
55280;ANDERSON;ANDERSON;;Brazil;25;175;77;L;R;CMF; DMF CMF LMF AMF;1;75;61;82;84;83;76;84;83;81;81;84;81;84;71;84;75;78;70;79;84;75;50;78;5;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;
55281;IRANILDO;IRANILDO;;Brazil;25;169;64;R;R;AMF; CMF AMF SS;1;77;51;75;83;78;75;80;83;82;84;79;78;78;78;79;86;84;75;70;83;75;50;77;5;6;5;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;
